generation_id,created_at,cost_total,cost_web_search,cost_cache,cost_file_processing,byok_usage_inference,tokens_prompt,tokens_completion,tokens_reasoning,tokens_cached,model_permaslug,provider_name,variant,cancelled,streamed,user,finish_reason_raw,finish_reason_normalized,generation_time_ms,time_to_first_token_ms,app_name,api_key_name
gen-1765430183-1hoTdDJ5FOEHWGzXIZGk,2025-12-11 05:16:23.119,0,,,,0.001411,321,101,0,0,openai/gpt-5-chat-2025-08-07,OpenAI,standard,false,true,,completed,stop,586,420,,GenEval
gen-1765430178-S7btH6eS4wsErBnI0Rhq,2025-12-11 05:16:17.942,0,,,0,0.002315,290,405,0,0,anthropic/claude-4.5-haiku-20251001,Amazon Bedrock,standard,false,true,,stop,stop,3697,1181,,GenEval
gen-1765430176-EI8WicSszDTPyev3kpE3,2025-12-11 05:16:16.733,0,,,,0.000977,134,81,0,0,openai/gpt-5-chat-2025-08-07,OpenAI,standard,false,true,,completed,stop,370,351,,GenEval
gen-1765430173-Sar9B5HSquk0vvIuipjx,2025-12-11 05:16:13.728,0,,,,0.0018,144,162,0,0,openai/gpt-5-chat-2025-08-07,OpenAI,standard,false,true,,completed,stop,2061,510,,GenEval
gen-1765430172-OewHLVTCweh46WaS0hgQ,2025-12-11 05:16:12.599,0,,,,0.000786,133,62,0,0,openai/gpt-5-chat-2025-08-07,OpenAI,standard,false,true,,completed,stop,432,361,,GenEval
gen-1765430171-1fAP0nuHQCQeVK9EcJ2H,2025-12-11 05:16:11.391,0,,,,0.000707,134,54,0,0,openai/gpt-5-chat-2025-08-07,OpenAI,standard,false,true,,completed,stop,337,456,,GenEval
gen-1765430170-y6nnacDiKziBiCsEcZZH,2025-12-11 05:16:10.167,0,,,,0.000566,125,41,0,0,openai/gpt-5-chat-2025-08-07,OpenAI,standard,false,true,,completed,stop,352,523,,GenEval
gen-1765430169-XpjH0js6VBYENJGf3hX4,2025-12-11 05:16:09.222,0,,,,0.000476,133,31,0,0,openai/gpt-5-chat-2025-08-07,OpenAI,standard,false,true,,completed,stop,178,385,,GenEval
gen-1765430168-ku9qetZKUSGs8AielwBc,2025-12-11 05:16:08.101,0,,,,0.000781,129,62,0,0,openai/gpt-5-chat-2025-08-07,OpenAI,standard,false,true,,completed,stop,257,468,,GenEval
gen-1765430167-gApAH1LDme78NSPFvzac,2025-12-11 05:16:07.068,0,,,,0.000541,137,37,0,0,openai/gpt-5-chat-2025-08-07,OpenAI,standard,false,true,,completed,stop,274,458,,GenEval
gen-1765430165-Y2XwwlqRR1g3XxEandpo,2025-12-11 05:16:05.472,0,,,,0.000523,131,36,0,0,openai/gpt-5-chat-2025-08-07,OpenAI,standard,false,true,,completed,stop,688,587,,GenEval
gen-1765430164-Nu9Tmpt5QfrJiq45DGRL,2025-12-11 05:16:04.041,0,,,,0.000431,121,28,0,0,openai/gpt-5-chat-2025-08-07,OpenAI,standard,false,true,,completed,stop,129,704,,GenEval
gen-1765430158-zw56ml4mSiujTlgpFJAW,2025-12-11 05:15:58.264,0,,,0,0.002825,325,500,0,0,anthropic/claude-4.5-haiku-20251001,Amazon Bedrock,standard,false,true,,stop,stop,4723,809,,GenEval
gen-1765430155-ljqri2Yp7bj95NFyz1VE,2025-12-11 05:15:55.508,0,,,0,0.001196,296,180,0,0,anthropic/claude-4.5-haiku-20251001,Amazon Bedrock,standard,false,true,,stop,stop,1360,1037,,GenEval
