generation_id,created_at,cost_total,cost_web_search,cost_cache,cost_file_processing,byok_usage_inference,tokens_prompt,tokens_completion,tokens_reasoning,tokens_cached,model_permaslug,provider_name,variant,cancelled,streamed,user,finish_reason_raw,finish_reason_normalized,generation_time_ms,time_to_first_token_ms,app_name,api_key_name
gen-1766181760-ek4wJohKAaXW4fF4ojNC,2025-12-19 22:02:40.044,0,,,,0.001039,1323,126,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,1416,762,,GenEval
gen-1766181757-yWNEsY6YTA53hFEdvD3s,2025-12-19 22:02:37.938,0,,,,0.005209,9525,149,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,2021,1588,,GenEval
gen-1766181756-bPHLXGxl1q3Bd2O8VG16,2025-12-19 22:02:36.874,0.001318,,,0,0,1664,333,0,844,z-ai/glm-4.6,Novita,exacto,false,true,,tool_calls,tool_calls,4029,536,,GenEval
gen-1766181756-VBZKGF9GXfFvp84qSB4L,2025-12-19 22:02:36.831,0,,,,0.000356,232,80,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,1041,624,,GenEval
gen-1766181754-QDnzUYDHofDW46DT37cl,2025-12-19 22:02:34.778,0,,,,0.00092,526,219,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,1981,861,,GenEval
gen-1766181753-dOChAfSNSvSE1AQMBc8n,2025-12-19 22:02:33.282,0,,,,0.001015,1304,121,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,1168,856,,GenEval
gen-1766181750-pcjPvClZ1bC5mJ1Tcjai,2025-12-19 22:02:30.541,0,,-0.002688,0,0.003568,2144,246,0,1792,openai/gpt-4.1-2025-04-14,OpenAI,standard,false,true,,completed,tool_calls,5782,373,,GenEval
gen-1766181750-nlwLcwGGNEQjhnQ4zC1v,2025-12-19 22:02:30.391,0,,,,0.005293,9525,177,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,2131,1137,,GenEval
gen-1766181749-Fj5fBVGvD69Dak4bYsFk,2025-12-19 22:02:29.424,0,,,,0.000314,232,66,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,898,618,,GenEval
gen-1766181747-UQPYzKnK1MiYXBnHc5Z5,2025-12-19 22:02:27.304,0,,,,0.00094,506,229,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,2062,773,,GenEval
gen-1766181745-JJFt6RR4OdW0FGy1R9jI,2025-12-19 22:02:25.975,0,,,,0.00057,492,108,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,1229,1004,,GenEval
gen-1766181744-TOq9vSraTKF5BXTReYm2,2025-12-19 22:02:24.528,0,,,,0.000591,492,115,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,1359,829,,GenEval
gen-1766181742-Y8v6m3qmcMYkz7Ak6U4w,2025-12-19 22:02:22.259,0,,-0.002607,,0.001569,7142,202,0,5795,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,2074,914,,GenEval
gen-1766181742-s0IowogVzEG2vP4KG7Yi,2025-12-19 22:02:22.122,0,,,0,0.015471,2782,475,0,0,anthropic/claude-4.5-sonnet-20250929,Amazon Bedrock,standard,false,true,,tool_calls,tool_calls,6202,1559,,GenEval
gen-1766181741-QZFMvET2AEzR169Zf3hf,2025-12-19 22:02:21.176,0,,,,0.00038,232,88,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,989,555,,GenEval
gen-1766181739-phn9vmmXT9MWPkuG6btl,2025-12-19 22:02:19.547,0.000124,,-0.000024,0,0,659,119,0,238,z-ai/glm-4.5-air,Novita,standard,false,true,,stop,stop,1876,497,,GenEval
gen-1766181739-b9UleuhssKiJ7nNO0XmX,2025-12-19 22:02:19.307,0,,-0.000675,,0.000732,1665,192,0,1502,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,1783,874,,GenEval
gen-1766181738-YlgBDuTvLtD7WsnGOkYs,2025-12-19 22:02:17.991,0,,,,0.000547,506,98,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,1253,775,,GenEval
